ACCESSION_NUMBER,ID,ISSUEJURISDICTIONSECUROFFERING
0002055679-25-000005,43,SD
0002055679-25-000005,45,TX
0002055679-25-000005,47,VT
0002055679-25-000005,2,AK
0002055679-25-000005,4,AR
0002055679-25-000005,6,CO
0002055679-25-000005,8,DE
0002055679-25-000005,10,FL
0002055679-25-000005,12,HI
0002055679-25-000005,14,IL
0002055679-25-000005,16,IA
0002055679-25-000005,18,KY
0002055679-25-000005,20,ME
0002055679-25-000005,22,MA
0002055679-25-000005,24,MN
0002055679-25-000005,26,MO
0002055679-25-000005,28,NE
0002055679-25-000005,30,NH
0002055679-25-000005,32,NM
0002055679-25-000005,34,NC
0002055679-25-000005,36,OH
0002055679-25-000005,38,OR
0002055679-25-000005,40,PR
0002055679-25-000005,42,SC
0002055679-25-000005,44,TN
0002055679-25-000005,46,UT
0002055679-25-000005,48,VA
0002055679-25-000005,50,WV
0002055679-25-000005,52,WY
0002055679-25-000005,54,A1
0002055679-25-000005,56,A3
0002055679-25-000005,58,A5
0002055679-25-000005,60,A7
0002055679-25-000005,62,A9
0002055679-25-000005,64,Z4
0002074857-25-000001,2,AK
0002074857-25-000001,35,ND
0002074857-25-000001,6,CO
0002074857-25-000001,8,DE
0002074857-25-000001,10,FL
0002074857-25-000001,12,HI
0002074857-25-000001,14,IL
0002074857-25-000001,16,IA
0002074857-25-000001,18,KY
0002074857-25-000001,20,ME
0002074857-25-000001,22,MA
0002074857-25-000001,24,MN
0002074857-25-000001,26,MO
0002074857-25-000001,28,NE
0002074857-25-000001,30,NH
0002074857-25-000001,32,NM
0002074857-25-000001,34,NC
0002074857-25-000001,36,OH
0002074857-25-000001,38,OR
0002074857-25-000001,40,PR
0002074857-25-000001,42,SC
0002074857-25-000001,44,TN
0002074857-25-000001,46,UT
0002074857-25-000001,48,VA
0002074857-25-000001,50,WV
0002074857-25-000001,52,WY
0002074857-25-000001,5,CA
0002074857-25-000001,7,CT
0002074857-25-000001,9,DC
0002074857-25-000001,11,GA
0002074857-25-000001,13,ID
0002074857-25-000001,15,IN
0002074857-25-000001,17,KS
0002074857-25-000001,19,LA
0002074857-25-000001,21,MD
0002074857-25-000001,23,MI
0002074857-25-000001,25,MS
0002074857-25-000001,27,MT
0002074857-25-000001,29,NV
0002074857-25-000001,31,NJ
0002074857-25-000001,37,OK
0002074857-25-000001,39,PA
0002074857-25-000001,41,RI
0002074857-25-000001,43,SD
0002074857-25-000001,45,TX
0002074857-25-000001,47,VT
0002074857-25-000001,49,WA
0002074857-25-000001,51,WI
0002074857-25-000001,1,AL
0002074857-25-000001,3,AZ
0002074857-25-000001,33,NY
0002074857-25-000001,4,AR
0001822620-25-000002,1,AL
0001822620-25-000002,3,AZ
0001822620-25-000002,5,CA
0001822620-25-000002,7,CT
0001822620-25-000002,9,DC
0001822620-25-000002,11,GA
0001822620-25-000002,13,ID
0001822620-25-000002,15,IN
0001822620-25-000002,17,KS
0001822620-25-000002,19,LA
0001822620-25-000002,21,MD
0001822620-25-000002,23,MI
0001822620-25-000002,25,MS
0001822620-25-000002,27,MT
0001822620-25-000002,29,NV
0001822620-25-000002,31,NJ
0001822620-25-000002,33,NY
0001822620-25-000002,35,ND
0001822620-25-000002,37,OK
0001822620-25-000002,39,PA
0001822620-25-000002,41,RI
0001822620-25-000002,43,SD
0001822620-25-000002,45,TX
0001822620-25-000002,47,VT
0001822620-25-000002,49,WA
0001822620-25-000002,51,WI
0001822620-25-000002,53,A0
0001822620-25-000002,55,A2
0001822620-25-000002,57,A4
0001822620-25-000002,59,A6
0001822620-25-000002,61,A8
0001822620-25-000002,63,B0
0001822620-25-000005,1,AL
0001822620-25-000005,3,AZ
0001822620-25-000005,5,CA
0001822620-25-000005,7,CT
0001822620-25-000005,9,DC
